gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G31038	Retzbach	843	668	649	139	321	86	15	36	33	14	1	4	0	0	0	0	0	oevp
G31041	Schrattenthal	707	558	535	152	263	46	11	30	18	10	3	2	0	0	0	0	0	oevp
G31042	Seefeld-Kadolz	784	594	581	233	175	111	9	14	22	11	2	4	0	0	0	0	0	spoe
G31043	Sitzendorf an der Schmida	1771	1384	1352	267	670	175	25	68	70	62	6	9	0	0	0	0	0	oevp
G31051	Wullersdorf	1964	1526	1481	337	636	264	36	76	58	46	14	14	0	0	0	0	0	oevp
G31052	Zellerndorf	2094	1601	1573	469	617	246	31	94	64	41	2	9	0	0	0	0	0	oevp
G31053	Ziersdorf	2708	2065	2012	491	845	332	45	122	79	71	11	16	0	0	0	0	0	oevp
G31101	Altenburg	648	498	487	99	210	82	8	39	27	17	2	3	0	0	0	0	0	oevp
G31102	Brunn an der Wild	706	569	552	69	348	76	7	17	23	9	3	0	0	0	0	0	0	oevp
G31103	Burgschleinitz-Kühnring	1131	864	844	182	403	132	11	58	33	21	1	3	0	0	0	0	0	oevp
G31104	Drosendorf-Zissersdorf	1021	776	750	116	326	156	26	50	36	35	3	2	0	0	0	0	0	oevp
G31105	Eggenburg	2891	2006	1953	535	699	297	60	165	90	89	11	7	0	0	0	0	0	oevp
G31106	Gars am Kamp	2944	2173	2133	528	822	376	49	179	82	76	7	14	0	0	0	0	0	oevp
G31107	Geras	1147	887	864	167	478	119	25	34	27	7	3	4	0	0	0	0	0	oevp
G31109	Horn	5291	3572	3466	772	1291	628	102	333	136	167	14	23	0	0	0	0	0	oevp
G31110	Irnfritz-Messern	1185	950	930	157	507	169	24	26	20	20	4	3	0	0	0	0	0	oevp
G31111	Japons	613	486	484	56	320	52	11	19	13	10	2	1	0	0	0	0	0	oevp
G31113	Langau	599	463	448	100	232	60	7	23	18	4	1	3	0	0	0	0	0	oevp
G31114	Meiseldorf	782	577	557	134	274	78	4	24	20	16	7	0	0	0	0	0	0	oevp
G31117	Pernegg	608	489	473	83	257	72	11	23	18	6	0	3	0	0	0	0	0	oevp
G31119	Röhrenbach	456	375	366	33	251	33	5	21	16	5	0	2	0	0	0	0	0	oevp
G31120	Röschitz	873	722	704	172	319	113	12	43	20	22	2	1	0	0	0	0	0	oevp
G31121	Rosenburg-Mold	678	488	481	101	209	78	18	24	26	19	3	3	0	0	0	0	0	oevp
G31123	St. Bernhard-Frauenhofen	1042	836	820	120	473	102	23	47	29	16	2	8	0	0	0	0	0	oevp
G31124	Sigmundsherberg	1432	1095	1067	375	393	149	18	45	54	21	8	4	0	0	0	0	0	oevp
G31129	Weitersfeld	1378	1092	1063	140	666	111	16	58	40	22	5	5	0	0	0	0	0	oevp
G31130	Straning-Grafenberg	640	493	479	118	219	58	12	29	22	11	6	4	0	0	0	0	0	oevp
G31201	Bisamberg	3540	2627	2590	522	871	370	77	363	129	221	14	23	0	0	0	0	0	oevp
G31202	Enzersfeld im Weinviertel	1336	1070	1056	309	339	185	27	91	40	53	2	10	0	0	0	0	0	oevp
G31203	Ernstbrunn	2561	1891	1836	364	767	371	28	131	96	57	12	10	0	0	0	0	0	oevp
G31204	Großmugl	1301	984	959	144	443	155	27	89	59	34	3	5	0	0	0	0	0	oevp
G31205	Großrußbach	1671	1305	1266	228	520	233	32	140	50	51	5	7	0	0	0	0	0	oevp
G31206	Hagenbrunn	1489	1125	1106	247	351	239	43	94	49	68	7	8	0	0	0	0	0	oevp
G31207	Harmannsdorf	3144	2382	2334	546	778	430	74	255	110	116	10	15	0	0	0	0	0	oevp
G31208	Hausleiten	2882	2229	2176	485	789	471	50	163	97	93	17	11	0	0	0	0	0	oevp
G31213	Korneuburg	9176	6278	6162	1629	1643	1199	154	815	268	355	44	55	0	0	0	0	0	oevp
G31214	Langenzersdorf	6331	4544	4462	951	1204	730	169	705	240	388	41	34	0	0	0	0	0	oevp
G31215	Leitzersdorf	1005	765	742	140	275	140	29	71	39	40	3	5	0	0	0	0	0	oevp
G31216	Leobendorf	3804	2866	2807	681	860	442	87	394	149	163	16	15	0	0	0	0	0	oevp
G31224	Rußbach	1105	897	867	197	340	179	28	57	34	24	5	3	0	0	0	0	0	oevp
G31226	Sierndorf	3052	2287	2240	476	807	422	65	205	108	110	19	28	0	0	0	0	0	oevp
G31227	Spillern	1704	1246	1222	431	215	258	29	136	70	55	9	19	0	0	0	0	0	spoe
